const_code,constituency,win_party,win_votes,second_party,second_votes,margin,percent
385,Ajagara,BSP,60239,SP,58156,2083,1.12
386,Shivpur,BSP,48716,SP,36084,12632,6.86
387,Rohaniya,AD,57812,BSP,40229,17583,9.19
388,Varanasi North,BJP,47980,BSP,45644,2336,1.29
389,Varanasi South,BJP,57868,INC,44046,13822,9.13
390,Varanasi Cantt.,BJP,57918,INC,45066,12852,7.11
391,Sevapuri,SP,56849,AD,36942,19907,11.16
392,Bhadohi,SP,78698,BSP,62457,16241,7.78
393,Gyanpur,SP,91604,BSP,53930,37674,21.25
394,Aurai,SP,83827,BSP,61954,21873,12.34
395,Chhanbey,SP,57488,BSP,47194,10294,5.55
396,Mirzapur,SP,69099,BSP,46800,22299,11.78
397,Majhawan,BSP,83870,SP,74141,9729,4.61
398,Chunar,SP,67265,BSP,46557,20708,11.19
399,Marihan,INC,63492,SP,54969,8523,3.98
400,Ghorawal,SP,87708,BSP,72521,15187,7.44
401,Robertsganj,SP,47139,BSP,41798,5341,3.24
402,Obra,BSP,31513,BJP,24453,7060,4.91
403,Duddhi,IND,42028,SP,35989,6039,3.79
