const_id,const_name,party,gender,category,muslim,C&G,G&M,M&C
305,Itwa,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
306,Doomariyaganj,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
307,Harraiya,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
308,Kaptanganj,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
309,Rudhauli,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
310,Basti Sadar,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
311,Mahadewa,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
312,MENHDAWAL,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
313,KHALILABAD,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
314,Dhanghata,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
315,Pharenda,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
316,Nautanwa,IND,M,GEN,FALSE,FALSE,FALSE,FALSE
317,Siswa,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
318,Maharajganj,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
319,Paniyara,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
320,Caimpiyarganj,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
321,Pipraich,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
322,Gorakhpur Urban,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
323,Gorakhpur Rural,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
324,Sahajanwa,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
325,Khajani,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
326,Chauri-Chaura,BJP,F,GEN,FALSE,FALSE,FALSE,FALSE
327,Bansgaon,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
328,Chillupar,BSP,M,GEN,FALSE,FALSE,FALSE,FALSE
329,Khadda,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
330,Padrauna,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
331,Tamkuhi Raj,INC,M,GEN,FALSE,FALSE,FALSE,FALSE
332,Fazilnagar,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
333,Kushinagar,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
334,Hata,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
335,Ramkola,Suheldev Bhartiya Samaj Party,M,S.C.,FALSE,FALSE,FALSE,FALSE
336,Rudrapur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
337,Deoria,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
338,Pathardeva,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
339,Rampur Karkhana,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
340,Bhatpar Rani,SP,M,GEN,FALSE,FALSE,FALSE,FALSE
341,Salempur,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
342,Barhaj,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
343,Atrauliya,SP,M,GEN,FALSE,FALSE,FALSE,FALSE
344,Gopalpur,SP,M,GEN,TRUE,FALSE,FALSE,FALSE
345,Sagri,BSP,F,GEN,FALSE,FALSE,FALSE,FALSE
346,Mubarakpur,BSP,M,GEN,FALSE,FALSE,FALSE,FALSE
347,Azamgarh,SP,M,GEN,FALSE,FALSE,FALSE,FALSE
348,Nizamabad,SP,M,GEN,TRUE,FALSE,FALSE,FALSE
349,Phoolpur Pawai,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
350,Didarganj,BSP,M,GEN,FALSE,FALSE,FALSE,FALSE
351,Lalganj,BSP,M,S.C.,TRUE,FALSE,FALSE,FALSE
352,Mehnagar,SP,M,S.C.,FALSE,FALSE,FALSE,FALSE
353,Madhuban,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
354,Ghosi,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
355,Muhammadabad- Gohna (SC),BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
