candidate_id,state_name,constituency_number,candidate_name_eci,sitting_mla,adr_party,eci_party,education,age,assets_number,liabilities_number,assets_minus_liabilities,criminal_cases,gender
4443,Uttar Pradesh,263,SANJAY SINGH,,Independent,Independent,12th Pass,49,23600,0,23600,0,M
4444,Uttar Pradesh,263,SATISH KESHARWANI,,Rashtriya Apna Dal,Rashtriya Apna Dal,8th Pass,34,75899033,0,75899033,0,M
4445,Uttar Pradesh,263,SATYENDRA KUMAR KUSHWAHA,,RPI,Republican Party of India,Graduate,36,266048,0,266048,0,M
4446,Uttar Pradesh,263,SAVITA SAHOO,,IND,Independent,Post Graduate,32,550000,0,550000,0,F
4447,Uttar Pradesh,263,SHIV PRASAD VERMA,,IND,Independent,5th Pass,45,44857229,10106320,34750909,0,M
4448,Uttar Pradesh,263,SHIV SHARAN,,IND,Independent,12th Pass,36,78578,0,78578,0,M
4449,Uttar Pradesh,263,SYED AFZAAL MUZIB,,All India Majlis-E-Ittehadul Muslimeen,All India Majlis-E-Ittehadul Muslimeen,Graduate,32,45237535,0,45237535,0,M
4450,Uttar Pradesh,261,CHANDRA DEV SINGH,,Nirbal Indian Shoshit Hamara Aam Dal,Nirbal Indian Shoshit Hamara Aam Dal,12th Pass,40,9055773,0,9055773,1,M
4451,Uttar Pradesh,261,DAKKHINI PRASAD,,Pragatisheel Samaj Party,Pragatisheel Samaj Party,Graduate,66,13229587,0,13229587,0,M
4452,Uttar Pradesh,261,GANESH JI,,IND,Independent,Graduate,52,31578100,0,31578100,1,M
4453,Uttar Pradesh,261,HASAN AKHLAQ,,IND,Independent,Literate,48,5930000,0,5930000,1,M
4454,Uttar Pradesh,261,NADIM AHAMAD,,Awami Vikas Party,Awami Vikas Party,8th Pass,32,350000,0,350000,0,M
4455,Uttar Pradesh,261,NIZAMUDDIN,,IND,Independent,Illiterate,57,51153500,0,51153500,0,M
4456,Uttar Pradesh,261,POOJA PAL,,BSP,Bahujan Samaj Party,Graduate,37,18511062,3254658,15256404,3,F
4457,Uttar Pradesh,261,RAJ KUMAR SRIVASTAVA,,Vikas Party,Vikas Party,5th Pass,45,1005702,0,1005702,0,M
4458,Uttar Pradesh,261,RAJENDRA KUMAR,,IND,Independent,Graduate,37,254000,0,254000,0,M
4459,Uttar Pradesh,261,REETA DEVI,,IND,Independent,Post Graduate,32,211000,0,211000,0,F
4460,Uttar Pradesh,261,RICHA SINGH,,SP,Samajwadi Party,Post Graduate,29,1307557,0,1307557,0,F
4461,Uttar Pradesh,261,SIDHARTH NATH SINGH,,BJP,Bharatiya Janata Party,Graduate,53,220677358,93172910,127504448,0,M
4462,Uttar Pradesh,261,SUNIL KUMAR,,RLD,Rashtriya Lok Dal,Graduate Professional,33,1031700,0,1031700,1,M
2532,Uttar Pradesh,101,ARUN,,IND,Independent,Graduate,34,5477510,0,5477510,0,M
2533,Uttar Pradesh,101,CHANDRASHEKHAR MISHRA,,Manav Hit Party,Manav Hit Party,Graduate Professional,36,2822732,650000,2172732,0,M
2534,Uttar Pradesh,101,DEV PRAKASH,,BSP,Bahujan Samaj Party,Graduate,32,22877302,500000,22377302,1,M
2535,Uttar Pradesh,101,DEVENDRA PRATAP,,BJP,Bharatiya Janata Party,12th Pass,55,14389000,400000,13989000,0,M
2536,Uttar Pradesh,101,DHIRENDRA SINGH,,Jan Adhikar Party,Jan Adhikar Party,Post Graduate,36,4290000,0,4290000,0,M
2537,Uttar Pradesh,101,DUSHYANT KUMAR,,SHS,Shivsena,Graduate,27,105791,0,105791,0,M
2538,Uttar Pradesh,101,MUNNALAL,,IND,Independent,12th Pass,33,1444000,0,1444000,0,M
2539,Uttar Pradesh,101,RAHUL PANDAY,,Mahan Dal,Mahan Dal,Post Graduate,33,27529209,"9,63,388",26565821,0,M
